3,70,288,289,290,43,96,97,98,99,27,44,44,96,97,98,99,44,44,44,70,288,289,290,71
51,45,336,337,338,43,120,85,122,123,3,27,44,120,85,122,123,44,44,27,45,336,337,338,43
27,45,288,289,290,43,144,145,146,147,27,3,44,144,145,146,147,44,44,44,45,288,122,290,43
44,45,288,289,290,43,173,223,175,176,3,3,3,262,262,262,262,44,27,44,70,288,289,290,71
27,70,288,-1610612614,290,43,197,246,199,200,51,3,51,207,208,208,210,44,44,3,45,288,289,290,43
27,45,288,289,290,67,68,68,68,68,68,68,68,68,68,68,68,68,68,68,69,288,289,290,43
27,45,288,289,291,265,265,265,265,343,343,269,343,343,265,265,265,265,265,265,265,292,289,290,43
126,45,288,289,289,289,289,289,289,289,289,293,289,289,289,122,289,289,289,122,289,289,289,290,43
3,70,288,-1610612614,267,313,313,313,313,313,313,317,313,313,313,313,313,313,313,313,313,268,289,290,43
126,45,288,289,290,19,20,20,20,20,20,20,20,106,107,108,109,20,20,20,21,288,289,290,43
126,45,288,289,290,43,27,3,126,44,27,44,44,130,131,132,133,44,27,44,70,288,122,290,43
27,45,288,289,290,43,96,97,98,99,44,44,44,154,155,156,157,44,44,44,45,288,289,290,43
51,70,288,289,290,43,120,121,122,123,44,44,44,178,179,180,181,44,44,51,45,288,289,290,43
27,45,288,289,290,43,144,145,146,147,44,44,44,202,203,204,205,44,44,44,45,288,289,290,43
27,45,288,289,290,43,168,169,170,171,44,27,44,226,227,228,229,44,27,44,70,288,289,290,43
44,45,288,122,290,67,192,193,194,195,68,68,68,250,251,252,253,68,68,68,69,288,289,290,43
44,70,288,289,291,265,265,265,265,343,343,269,343,343,265,265,265,265,265,265,265,292,122,290,43
44,45,288,289,289,122,289,289,289,289,289,293,289,289,289,289,289,122,289,289,289,122,289,290,43
44,45,312,313,313,313,313,313,313,313,313,317,313,313,313,313,313,313,313,313,313,313,313,314,43
44,46,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,47
44,126,44,126,126,44,27,44,126,3,27,44,3,3,51,126,3,126,3,27,66,66,66,66,66
126,44,27,44,44,51,126,126,44,51,3,3,44,126,126,126,44,3,3,3,39,39,39,39,39
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,39,39,39,39,39
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
