0,0,0,0,0,0,0,0,0,0,0,43,44,70,288,289,290,43,101,102,104,170,101,102,104,44,101,102,104,44,101,102,104,44,44
0,106,107,108,109,77,79,106,107,109,0,43,44,45,288,289,290,43,149,150,152,170,149,150,152,44,149,150,152,44,149,150,152,44,44
0,130,131,132,133,185,185,130,131,133,0,43,44,45,288,289,290,43,240,241,243,170,245,246,200,44,255,256,258,44,240,241,243,44,44
0,154,155,156,157,232,232,154,155,157,0,43,44,45,288,289,290,67,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
0,168,217,217,171,185,184,168,217,171,0,43,44,70,288,321,291,265,265,265,265,265,265,265,265,265,340,341,269,343,343,265,265,265,265
0,168,217,217,171,232,232,168,217,171,0,43,44,45,288,344,322,289,289,289,289,289,289,289,289,289,289,289,293,289,289,289,289,289,289
0,168,217,217,171,184,185,168,217,171,0,43,44,45,288,346,267,313,313,313,313,313,313,313,313,313,313,313,317,313,313,313,313,313,313
0,168,217,217,171,256,209,168,217,171,0,43,44,45,288,289,290,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
0,192,194,194,195,0,0,192,194,195,0,43,44,70,288,289,315,71,44,44,44,106,107,108,107,107,107,108,109,44,44,44,44,44,44
0,0,0,0,0,0,0,0,0,0,0,43,44,45,288,289,339,43,44,22,68,130,131,132,131,131,131,131,133,68,68,68,68,68,68
20,20,20,20,20,20,20,20,20,20,20,47,44,45,336,337,338,43,44,45,0,154,155,156,155,131,131,131,133,0,0,0,0,0,0
44,44,44,44,44,44,44,44,44,44,44,44,44,45,288,289,343,43,44,45,0,178,179,180,181,130,131,131,133,0,0,0,0,0,0
68,68,68,68,68,68,68,68,68,68,68,68,68,69,288,289,343,71,44,45,0,202,203,204,205,130,131,132,133,0,96,97,97,98,99
265,265,265,265,265,265,265,265,265,265,265,265,265,265,292,289,290,43,44,45,0,0,0,0,0,154,155,156,157,0,120,122,121,122,123
289,289,289,289,289,345,344,322,289,289,289,289,289,289,289,289,290,43,44,45,0,106,107,109,0,226,227,228,229,0,144,145,145,146,147
313,313,313,313,313,289,346,267,313,313,313,313,313,313,313,313,314,43,44,45,0,154,155,157,0,250,251,252,253,0,183,185,166,185,186
20,20,20,20,70,288,289,290,19,106,107,108,109,20,20,20,20,44,44,45,0,262,262,262,0,0,0,0,0,0,231,233,188,233,234
44,101,102,104,45,288,289,290,43,130,131,132,133,44,44,44,44,44,44,45,0,207,208,210,0,0,0,0,0,0,255,257,256,257,258
44,125,126,128,45,288,289,290,43,154,155,156,157,44,44,44,44,44,44,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,149,150,152,45,288,289,290,43,183,233,233,186,107,107,108,109,44,44,45,106,107,108,109,0,0,0,101,102,103,104,96,97,98,99
44,178,179,181,70,288,289,290,43,183,233,233,186,131,131,132,133,44,44,46,130,131,132,133,20,20,20,125,126,127,128,120,121,122,123
44,178,179,181,45,288,289,290,43,183,233,233,186,155,155,156,157,44,44,44,154,155,156,157,44,44,44,149,150,151,152,144,145,146,147
44,178,179,181,45,288,289,290,43,183,233,233,186,183,233,233,186,44,44,44,178,179,180,181,44,44,44,261,261,261,261,168,218,170,171
44,178,179,181,45,288,289,290,43,183,233,233,186,183,233,233,186,44,44,44,226,227,228,229,44,44,44,197,198,199,200,192,193,194,195
44,178,179,181,70,288,289,290,43,207,256,209,210,207,209,209,210,44,44,44,250,251,252,253,44,44,44,44,44,44,44,44,44,44,44
44,178,179,181,45,288,289,290,67,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
44,178,179,181,45,288,121,291,343,343,269,340,341,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265
44,250,251,253,45,288,289,121,289,289,293,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289
44,44,44,44,70,312,313,313,313,313,317,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313
44,44,44,44,44,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,347,348,349,350,319,319
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
2,2,2,2,2,2,2,2,2,26,2,2,2,2,2,26,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,26,2,2,2,2,2,2,2,2,2,2,2,26,26,2,2,2,2,2,2,2,2,2,2,2,26,2,2,26,2,2
58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
